route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
29A,KES_AR_2019_K34,5841524923,Linnainmaa,1,29051,1433287105126,0
29A,KES_AR_2019_K34,5841204923,Pitkäniemi,0,29051,1433151268710,0
29A,KES_AR_2019_K34,5841574923,Linnainmaa,1,29051,1433287105126,0
29A,KES_AR_2019_K34,5841244923,Pitkäniemi,0,29051,1433151268710,0
29A,KES_AR_2019_K34,5841614923,Linnainmaa,1,29051,1433287105126,0
29A,KES_AR_2019_K34,5841284923,Pitkäniemi,0,29051,1433151268710,0
29A,KES_AR_2019_K34,5841654923,Linnainmaa,1,29051,1433287105126,0
29A,KES_AR_2019_K34,5841324923,Pitkäniemi,0,29051,1433151268710,0
29A,KES_AR_2019_K34,5841704923,Linnainmaa,1,29051,1433287105126,0
29A,KES_AR_2019_K34,5841374923,Pitkäniemi,0,29051,1433151268710,0
29A,KES_AR_2019_K34,5841744923,Linnainmaa,1,29051,1433287105126,0
29A,KES_AR_2019_K34,5841414923,Pitkäniemi,0,29051,1433151268710,0
29A,KES_AR_2019_K34,5841784923,Linnainmaa,1,29051,1433287105126,0
41,KES_AR_2019_K36,5881694929,Kangasala,0,41011,1289184158034,0
41,KES_AR_2019_K36,5881744929,Ponsa,1,41011,1289280348414,0
41,KES_AR_2019_K36,5881704929,Kangasala,0,41011,1289184158034,0
41,KES_AR_2019_K36,5881754929,Orivesi,1,41011,1289280348485,0
41,KES_AR_2019_K36,5881724929,Kangasala,0,41011,1289184858034,0
41,KES_AR_2019_K36,5881764929,Ponsa,1,41011,1289280348414,0
41,KES_AR_2019_K36,5881714929,Kangasala,0,41011,1289184158034,0
41,KES_AR_2019_K36,5881774929,Orivesi,1,41011,1289280348485,0
41,KES_AR_2019_K36,5881734929,Kangasala,0,41011,1289184858034,0
41,KES_AR_2019_K36,5881784929,Ponsa,1,41011,1289280348414,0
79B,KES_AR_2019_K38,5866904930,Linnavuori ,0,79011,1429185228690,0
79B,KES_AR_2019_K38,5866654930,Tampere,1,79011,1429286900010,0
79A,KES_AR_2019_K38,5866694930,Siuro ,0,79011,1428100148698,0
79A,KES_AR_2019_K38,5866794930,Tampere,1,79011,1428286980010,0
79A,KES_AR_2019_K38,5866714930,Siuro ,0,79011,1428100148698,0
